,Cluster Labels,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
17,0,Sunset,Convenience Store,Sandwich Place,Gas Station,Pizza Place,Park,Yoga Studio,Farmers Market,Food & Drink Shop,Flower Shop,Fish Market
18,0,Victoria-Fraserview,Pet Store,Park,Convenience Store,Asian Restaurant,Motorcycle Shop,Noodle House,Pizza Place,Middle Eastern Restaurant,Fish Market,Food & Drink Shop
0,1,Downtown,Hotel,Café,Seafood Restaurant,Restaurant,Coffee Shop,Steakhouse,Taco Place,Clothing Store,Theater,Concert Hall
15,1,South Cambie,Bus Stop,Chinese Restaurant,Park,Dessert Shop,Gym,Bubble Tea Shop,Sushi Restaurant,Gift Shop,Coffee Shop,Malay Restaurant
14,1,Shaughnessy,Sushi Restaurant,Coffee Shop,Bank,Sporting Goods Shop,Shopping Mall,Vietnamese Restaurant,Bubble Tea Shop,Sandwich Place,Grocery Store,Greek Restaurant
13,1,Riley Park,Japanese Restaurant,Restaurant,Coffee Shop,Café,Arts & Crafts Store,Grocery Store,Vegetarian / Vegan Restaurant,Furniture / Home Store,Bookstore,Pub
12,1,Renfrew-Collingwood,Convenience Store,Malay Restaurant,Bus Stop,Supermarket,Sushi Restaurant,Bookstore,Chinese Restaurant,Pizza Place,Ethiopian Restaurant,Falafel Restaurant
11,1,Oakridge,Jewelry Store,Electronics Store,Fast Food Restaurant,Coffee Shop,Sushi Restaurant,Shoe Store,Tea Room,Accessories Store,Snack Place,Food Court
9,1,Marpole,Café,Restaurant,Scenic Lookout,Liquor Store,Bus Stop,Night Market,Shoe Store,Grocery Store,Burger Joint,Harbor / Marina
5,1,Kensington-Cedar Cottage,Vietnamese Restaurant,Café,Indian Restaurant,Sandwich Place,Burger Joint,Supermarket,Breakfast Spot,Seafood Restaurant,Church,Grocery Store
4,1,Hastings-Sunrise,Bus Station,Coffee Shop,Soccer Field,Bus Stop,Theme Park Ride / Attraction,Sporting Goods Shop,Chinese Restaurant,Bridal Shop,Sushi Restaurant,Fast Food Restaurant
2,1,Fairview,Breakfast Spot,Furniture / Home Store,Park,Restaurant,Japanese Restaurant,Arts & Crafts Store,Camera Store,Coffee Shop,Spa,Pharmacy
1,1,Dunbar-Southlands,Bank,Mexican Restaurant,Cosmetics Shop,Indian Restaurant,Café,Sushi Restaurant,Yoga Studio,Food Court,Food & Drink Shop,Flower Shop
8,1,Kitsilano,Coffee Shop,Park,Yoga Studio,Bank,Café,Pizza Place,Pub,Restaurant,Chinese Restaurant,Italian Restaurant
19,1,West End,Ramen Restaurant,Dessert Shop,Coffee Shop,Café,Grocery Store,Japanese Restaurant,Restaurant,Breakfast Spot,Bubble Tea Shop,Greek Restaurant
6,2,Kerrisdale,Park,Supermarket,Spanish Restaurant,Café,French Restaurant,Food Court,Food & Drink Shop,Flower Shop,Fish Market,Fast Food Restaurant
10,3,Mount Pleasant,Brewery,Bakery,Ice Cream Shop,Coffee Shop,Music Store,Middle Eastern Restaurant,Café,Movie Theater,Shop & Service,Chinese Restaurant
3,3,Grandview-Woodland,Brewery,Coffee Shop,Hotel,Liquor Store,Deli / Bodega,Pub,Electronics Store,Fast Food Restaurant,Nightclub,Chinese Restaurant
16,3,Strathcona,Brewery,Coffee Shop,Ice Cream Shop,Discount Store,Hotel,Music Venue,Sandwich Place,Ethiopian Restaurant,Grocery Store,Building
7,4,Killarney,Pool,Coffee Shop,Yoga Studio,Farmers Market,Food Truck,Food Court,Food & Drink Shop,Flower Shop,Fish Market,Fast Food Restaurant
